movie_name,genre,rating
Maelström,Drama|Romance,8
Brother's War,War,9
"Captain's Paradise, The",Comedy,3
MC5: Kick Out the Jams,Documentary,5
Night and the City,Film-Noir|Thriller,9
Chan Is Missing,Crime,9
Christmas Eve,Comedy|Drama,5
The Mule,Comedy|Crime|Drama,10
"Bribe, The",Drama|Film-Noir|Thriller,9
Dead Silent,Thriller,7
In This World,Adventure|Drama,7
Into the Woods,Adventure|Comedy|Fantasy|Musical,9
Tea and Sympathy,Drama|Romance,5
Manakamana,Documentary,2
51 Birch Street,Documentary,9
Blue Crush,Adventure|Drama|Romance,10
Maid in Sweden,Drama,6
Last Vegas,Comedy|Drama|Romance,7
Charlie Chan in Rio,Comedy|Crime|Mystery|Thriller,10
Cradle 2 the Grave,Action|Crime|Drama|Thriller,10
My Flesh and Blood,Documentary,8
Ocho apellidos vascos,Comedy,8
Drop Zone,Action|Thriller,1
Whisper of the Heart (Mimi wo sumaseba),Animation|Drama|Romance,6
Gamera vs. Guiron,Action|Adventure,3
"Theatre Bizarre, The",Horror,8
"Bounty Hunter, The",Action|Comedy|Romance,4
At Play in the Fields of the Lord,Drama,4
Two Mules for Sister Sara,Comedy|War|Western,4
Freedom,Drama,9
"Gospel, The",Drama,9
Midnight,Comedy|Romance,9
Parineeta,Drama|Musical|Romance,6
"Kiss, The",Horror,8
Accepted,Comedy,7
28 Up,Documentary,10
"Age of Innocence, The",Drama|Romance,6
"Young Poisoner's Handbook, The",Crime|Drama,9
"City of Women, The (Città delle donne, La)",Comedy|Drama,5
Palmetto,Crime|Drama|Mystery|Romance|Thriller,10
"Lodger, The",Crime|Drama|Mystery|Thriller,10
Shallow Hal,Comedy|Fantasy|Romance,6
Pi,Drama|Sci-Fi|Thriller,1
New York Lightboard Record,Animation|Documentary,4
Hostel: Part II,Crime|Horror|Thriller,6
Defenseless,Thriller,1
Celebrity,Comedy,9
Hunt vs Lauda: F1's Greatest Racing Rivals,Documentary,4
Mystery of the Wax Museum,Horror,8
Ra.One,Action|Musical|Sci-Fi,1
Super High Me,Comedy|Documentary,10
Meet the Applegates,Comedy,9
Turkish Passion (La pasión turca),Drama,5
College,Comedy,5
"Last Frontier, The",Western,9
Small Time Crooks,Comedy|Crime,3
Shutter Island,Drama|Mystery|Thriller,7
Latter Days,Comedy|Drama|Romance,10
"Few Best Men, A",Comedy,1
Read My Lips (Sur mes lèvres),Crime|Drama|Thriller,1
Seventh Heaven,Comedy|Romance,9
House of D,Drama,2
Alucarda,Horror|Thriller,4
Ace of Hearts,Children|Drama,2
Mesrine: Killer Instinct (L'instinct de mort),Action|Crime|Drama|Thriller,3
Vares: The Path of the Righteous Men (Vares - Kaidan tien kulkijat),Crime|Drama,3
End of the Line,Horror|Thriller,10
All of Me,Comedy|Fantasy,7
Russian Ark (Russkiy Kovcheg),Drama|Fantasy|War,6
"Battle for Marjah, The",Documentary|War,1
"Girl Next Door, The",Comedy|Romance,6
Babylon 5: Thirdspace,Drama|Sci-Fi,2
"Fall of the Roman Empire, The",Drama,9
Saving Sarah Cain,Drama,7
Don't Tempt Me (Sin noticias de Dios),Comedy|Fantasy|Mystery,1
Identity,Crime|Horror|Mystery|Thriller,4
Reality,Comedy,2
"Other, The",Drama|Horror|Mystery,1
By the Light of the Silvery Moon,Children|Musical|Romance,1
Don't Look Back,Documentary|Musical,1
I Think We're Alone Now,Documentary,6
"Mississippi Mermaid (Sirène du Mississipi, La)",Crime|Drama|Romance,2
J.C. Chávez (a.k.a. Chavez),Documentary,3
Munich,Action|Crime|Drama|Thriller,2
Heavy Petting,Documentary,8
Cobra,Drama,2
Mr. Skeffington,Drama|Romance,10
Hallelujah!,Drama|Musical,5
Terra (a.k.a. Battle for Terra),Adventure|Animation|Sci-Fi,4
Johnny Express,Animation|Comedy|Sci-Fi,9
Ringu 0: Bâsudei,Drama|Horror|Thriller,2
Great Expectations,Drama|Romance,9
Hong Kong Confidential (Amaya),Drama,9
Sweetgrass,Adventure|Documentary|Western,2
Solan og Ludvig: Jul i Flåklypa,Animation|Children,3
Plastic Bag,Drama,7
White Nights,Drama,2
Marilyn: The Untold Story,Documentary,8
Bag It,Documentary,7
Sovereign's Company,Drama,9
"Crow, The: Wicked Prayer",Action|Adventure|Fantasy|Thriller,4
Cahill U.S. Marshal (Cahill: United States Marshal) (Wednesday Morning),Western,1
Broadway Damage,Comedy,7
College,Comedy,1
100 Bloody Acres,Comedy|Horror,10
Death and Cremation,Thriller,2
"Exercice de l'État, L'",Drama,10
Hum Tum,Comedy|Drama|Musical|Romance,8
"Atomic Brain, The",Horror|Sci-Fi,1
"Baby, the Rain Must Fall",Drama,9
Guy X,Comedy|War,5
"Blood of the Beasts (Sang des bêtes, Le)",Documentary|Drama,4
She Creature (Mermaid Chronicles Part 1: She Creature),Fantasy|Horror|Thriller,8
"Hart of London, The",Drama,3
Ice Age 2: The Meltdown,Adventure|Animation|Children|Comedy,1
It Came from Hollywood,Comedy|Documentary,10
Higher Ground,Drama,4
"Last Trapper, The (Le dernier trappeur)",Adventure|Documentary,7
"First Case, Second Case (Ghazieh-e Shekl-e Aval, Ghazieh-e Shekl-e Dou Wom)",Documentary,9
"Goebbels Experiment, The (Das Goebbels Experiment)",Documentary,1
On the Double ,Comedy|War,9
Future by Design,Documentary|Sci-Fi,8
Carnages (a.k.a. Carnage),Drama,10
"Smiling Madame Beudet, The (La souriante Madame Beudet)",Drama,8
"Island of Dr. Moreau, The",Sci-Fi|Thriller,10
Scusa ma ti chiamo amore,Romance,9
Bedevilled (Kim Bok-nam salinsageonui jeonmal),Crime|Drama|Horror,4
Olympus Has Fallen,Action|Thriller,10
Mister 880,Comedy,9
"Big Sleep, The",Crime|Film-Noir|Mystery,4
"Marathon Family, The (Maratonci Trce Pocasni Krug)",Comedy,5
"Banishment, The (Izgnanie)",Drama,8
"Treatment, The",Comedy|Drama|Romance,10
Ocean Heaven ,Drama,5
Izo,Action|Drama|Fantasy|Horror|Thriller|War,6
Filth and Wisdom,Comedy|Drama|Musical|Romance,5
I Got Next,Documentary,9
Dead or Alive: Final,Comedy|Crime|Drama|Sci-Fi|Thriller,8
Middle of Nowhere,Comedy|Drama,2
"Russell Peters: Red, White and Brown",Comedy|Documentary,8
Godzilla: Final Wars (Gojira: Fainaru uôzu),Action|Adventure|Fantasy|Sci-Fi,7
Holiday for Drumsticks,(no genres listed),4
"Delta Force, The",Action,7
Hell's Gate 11:11,Horror|Thriller,2
Amarcord,Comedy|Drama,9
It Happens Every Spring,Comedy|Sci-Fi,4
Babylon 5: The Lost Tales - Voices in the Dark,Sci-Fi,3
Babette Goes to War,Comedy|War,6
"Dernier Combat, Le (Last Battle, The)",Drama|Sci-Fi,3
Dick Tracy,Action|Crime,6
Foo Fighters: Back and Forth,Documentary|Musical,10
Siete minutos (Seven Minutes),Comedy,1
"Runaways, The",Drama|Musical,8
Tammy and the Bachelor,Musical|Romance,5
"Brothers Bloom, The",Adventure|Comedy|Crime|Romance,10
God's Little Acre,Comedy|Drama|Romance,5
"Sea Gull, The",Drama|Romance,2
Suspect X (Yôgisha X no kenshin),Crime|Drama|Mystery,4
Food (Jídlo),Animation|Comedy|Fantasy,2
Nobody Owns Me (Mig äger ingen),Drama,8
"Aristocats, The",Animation|Children,10
Gray's Anatomy,Comedy|Drama,9
Ivul,Drama,1
Budd Boetticher: An American Original ,Documentary,1
Love You You,Romance,7
Wind Chill,Drama|Horror|Thriller,6
"Return of Jafar, The",Adventure|Animation|Children|Fantasy|Musical|Romance,6
Mongol,Drama|War,9
"Touch of Sin, A (Tian zhu ding)",Drama,7
Afterwards,Mystery,7
Tarzan's Magic Fountain,Action|Adventure|Fantasy|Romance,6
"Pom Pom Girls, The",Comedy,7
Another Chance,Comedy,1
Rain Man,Drama,3
Written on the Wind,Drama,3
Deliver Us from Eva,Comedy|Romance,5
Nenette and Boni (Nénette et Boni),Drama,4
"Rocky Saga: Going the Distance, The",Documentary,8
Ride with the Devil,Drama|Romance|War,4
Welcome to Australia,Documentary,2
Newcastle,Drama,2
"¡Alambrista! (Illegal, The)",Drama,3
In Love and War,Romance|War,2
"Citadel, The",Drama,10
Georgia,Drama,4
Hollow Reed,Drama,6
Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4),Action|Drama,1
Triad Underworld (Gong wu) (Jiang Hu),Action|Crime|Drama,8
Elles,Drama,5
Salaam Bombay!,Drama,9
"Wild Bees, The (Divoké vcely)",Comedy|Drama,8
Black Fury,Crime|Drama|Romance,7
Visitor to a Museum (Posetitel muzeya),Sci-Fi,6
"Rocket from Calabuch, The (Calabuch)",Comedy,1
Sugar Hill,Drama,1
"Girl in the Café, The",Drama|Romance,10
Never Met Picasso,Romance,2
"Pope's Toilet, The (El bano del Papa)",Drama,9
Mount Head (Atama yama),Animation|Comedy|Drama|Fantasy,2
