movie_name,genre,rating
Possession,Drama|Romance,1
In the Name of the Father,Drama,8
Gregory Go Boom,Comedy,9
Festival in Cannes,Drama,4
Yella,Drama|Romance|Thriller,7
Big Jake,Western,5
Quicksilver,Drama,5
Dreams (Kvinnodröm),Drama,2
Three Brothers (Tre fratelli),Drama,1
Fred Claus,Children|Comedy|Fantasy,5
"Stranger Among Us, A",Crime|Drama|Romance,2
"Pink Ribbons, Inc.",Documentary,3
"Man, The",Drama,5
Futurama: Bender's Game,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,10
"Trouble with Angels, The",Comedy,4
Barbarella,Adventure|Comedy|Sci-Fi,4
Trench Road (Juoksuhaudantie),Comedy|Drama,9
Go West,Comedy|Musical|Western,5
"Silence, The (Das letzte Schweigen)",Crime|Drama|Thriller,7
Howling V: The Rebirth,Horror,4
Friday the 13th Part VI: Jason Lives,Horror,1
Paris by Night,Crime|Drama,10
"Trojan Women, The",Drama,3
Lords of Dogtown,Action|Comedy|Drama,8
Gothika,Horror|Thriller,9
Cake,Drama,1
Versailles,Drama,9
I-See-You.Com,Comedy,8
Herbie Rides Again,Adventure|Children|Comedy,4
Ballad of a Soldier (Ballada o soldate),Drama|Romance|War,10
Neighbours,Animation|Comedy,10
"Love, etc.",Drama,9
Stunt Squad,Action|Crime|Thriller,8
Bobcat Goldthwait: You Don't Look the Same Either,Comedy,4
"Interrupters, The",Documentary,9
Bekas,Drama,3
Dressed to Kill,Mystery|Thriller,2
"Oath, The",Documentary,4
"Last Blitzkrieg, The",Drama|War,4
12,Crime|Drama|Thriller|War,8
Almighty Thor,Adventure|Fantasy,9
One Piece Film Z,Action|Adventure|Animation|Fantasy,2
"Blue and the Gray, The",Drama|War,3
Sandra of a Thousand Delights (Vaghe stelle dell'Orsa...),Drama,8
Zaza,Drama,4
3 Bad Men,Western,2
Woodstock Diary,Documentary,2
Rushmore,Comedy|Drama,1
Stuff and Dough (Marfa si banii),Drama,6
The 11 Commandments,Comedy,9
Women Without Men (Zanan-e bedun-e mardan),Drama,2
Don't Be Afraid of the Dark,Horror|Thriller,5
Hello I Must Be Going,Comedy|Drama|Romance,8
Thesis (Tesis),Drama|Horror|Thriller,10
"Bride Came C.O.D., The",Comedy|Romance,10
Expecting Love (Mala wielka milosc),Comedy|Romance,1
Easy Street,Comedy,1
Eyes of an Angel,Drama,2
"Last of the Mohicans, The",Action|Romance|War|Western,7
Much Ado About Nothing,Comedy|Romance,3
Blazing Saddles,Comedy|Western,3
Edison Kinetoscopic Record of a Sneeze,Documentary,7
Miss Nobody,Comedy|Crime,5
Jersey Boys,Drama|Musical,5
Happy Endings,Comedy|Drama,10
Midnight's Children,Drama,5
Cargo 200 (Gruz 200),Drama,10
"Cat and the Canary, The",Horror|Mystery,1
"Revenge of Frankenstein, The",Drama|Horror|Sci-Fi,8
Bringing Out the Dead,Drama,4
Home Sweet Home,Comedy,1
Heads,Comedy|Crime,2
"Hey, Happy!",Drama|Sci-Fi,5
Mortel transfert,Comedy|Crime|Thriller,7
"Resurrection, A",Horror|Thriller,10
Renaissance,Action|Animation|Film-Noir|Sci-Fi|Thriller,6
Hawk the Slayer,Action|Fantasy,9
"Pied Piper, The (Pied Piper of Hamelin, The)",Children|Drama|Fantasy|Musical,4
Sanatorium,Thriller,5
"Hawaiians, The",Drama,5
Interkosmos,Drama,1
Five Days One Summer,Drama,7
Neurons to Nirvana,Documentary,5
Thurgood,Drama,7
If You Are the One,Comedy|Romance,10
If You Don't Stop It... You'll Go Blind!!!,Comedy,1
Drift,Drama,4
Blonde Crazy,Comedy|Crime|Drama|Romance,4
Frankenstein Unbound,Drama|Horror|Sci-Fi,9
A Walk in the Woods,Adventure|Comedy|Drama,6
Next Door (Naboer),Horror|Mystery|Thriller,2
Buffalo '66 (a.k.a. Buffalo 66),Drama|Romance,2
It's Alive,Horror,3
90 Minutes (90 minutter),Drama,3
Southern Comfort,Documentary,5
National Lampoon's Vacation,Comedy,3
Port of Shadows (Quai des brumes),Drama,9
"Scarlet Letter, The",Drama,9
"Best Man, The",Comedy|Drama,9
Fire Down Below,Adventure|Drama,4
Salvation Boulevard,Comedy|Thriller,5
(Untitled),Comedy|Drama,10
Ransom,Crime|Thriller,9
La Bandera,(no genres listed),1
Laaga Chunari Mein Daag: Journey of a Woman,Drama,5
"Angus, Thongs and Perfect Snogging",Comedy|Romance,6
Sprung,Comedy,6
Starship Troopers 2: Hero of the Federation,Action|Horror|Sci-Fi|War,2
Blind Date,Comedy|Romance,1
Sweetgrass,Adventure|Documentary|Western,2
Road House,Action|Drama,2
"Dungeon Masters, The",Documentary,6
"Traviata, La",Drama|Musical,3
"Marcello Mastroianni: I Remember Yes, I Remember (Marcello Mastroianni: mi ricordo, sì, io mi ricordo)",Documentary,2
Wise Blood,Comedy|Drama,5
Thirst,Drama,8
Black Beauty,Adventure|Children|Drama,2
"Death of the Incredible Hulk, The",Action,6
"Unforgettable Summer, An (Un été inoubliable)",Drama,3
Dark and Stormy Night,Comedy|Mystery,6
All the Invisible Children,Drama,1
"Courtship of Eddie's Father, The",Comedy,7
Will Penny,Romance|Western,6
Moon of the Wolf,Horror|Mystery,3
Donkey Xote,Animation,10
Ole dole doff,Drama,6
"Seventh Heaven (Septième ciel, Le)",Drama|Romance,4
Cairo Time,Drama|Romance,6
Four Flies on Grey Velvet,Horror|Mystery|Thriller,5
Buying the Cow,Comedy|Romance,3
Perez.,Crime|Drama|Thriller,10
Ghosts of Cité Soleil,Action|Documentary|Drama|Romance|War,10
Blue Caprice,Crime|Drama,4
Out of Bounds,Drama,7
Lady Be Good,Comedy|Musical,2
Darby O'Gill and the Little People,Adventure|Children|Fantasy,4
Defenseless,Thriller,3
Marilena de la P7,Drama|Fantasy,8
"ABCs of Death, The",Horror,5
Shirley Valentine,Comedy|Romance,6
Electric Dreams,Comedy|Drama|Romance|Sci-Fi,7
While the City Sleeps,Drama|Film-Noir,7
Nobel Son,Comedy|Crime|Drama|Thriller,4
After Midnight,Horror|Thriller,10
Rouva presidentti,Documentary,1
"Straight Story, The",Adventure|Drama,8
"Lost Embrace (Abrazo partido, El)",Comedy|Drama,6
"Sign of the Cross, The",Drama,1
"Crowd Roars, The",Action|Drama,8
